Total Count of cats per fur Type,,,,,Total Count of Dogs Per Group 1 Category,,
Bald,2,,,,Herding ,37,
Long,20,,,,Hound,34,
Medium,14,,,,Non Sporting,27,
Short,30,,,,Southern,1,
,,,,,Sporting,40,
,,,,,Terrier,36,
,,,,,Toy,21,
,,,,,Working,49,
,,,,,,,
Top 10 cat breeds based on popularity,,,,,Top 10 Dog breeds based on popularity,,
1,Exotic Shorthair,"$94,500.00",,,1,Black Labrador Retriever, 
2,Persian,"$143,750.00",,,2,Black Labrador Retriever,
3,Maine Coon,"$158,400.00",,,3,Black Labrador Retriever,
4,Ragdoll,"$63,000.00",,,4,Black Labrador Retriever,
5,British Shorthair,"$45,500.00",,,5,German Shepherd Dog,
6,American Shorthair,"$108,900.00",,,6,German Shepherd Dog,
7,Abyssinian,"$82,950.00",,,7,German Shepherd Dog,
8,Canadian Hairless,"$50,750.00",,,8,Golden Retriever,
9,Canadian Hairless,"$50,750.00",,,9,Golden Retriever,
10,Siamese,"$39,500.00",,,10,French Bulldog,
11,Scottish Fold,"$128,750.00",,,11,English Bulldog,
,,,,,12,Beagle,
,,,,,13,Poodle,
,,,,,14,Poodle,
,,,,,15,Rottweiler,
,,,,,16,Yorkshire Terrier Yorkie,
,,,,,17,German Shorthaired Pointer,
,,,,,,,
,,,,,,,
Bottom 10 Cat Breeds based on Popularity,,,,,Bottom 10 Dog Breeds Based on Popularity,,
1,American Wirehair,"$11,000.00",,,1,Norwegian Lundehund,
2,Korat,"$46,800.00",,,2,Sloughi,
3,LaPerm,"$44,500.00",,,3,Foxhound,
4,Burmilla,"$33,000.00",,,4,Foxhound,
5,Turkish Van,"$77,000.00",,,5,Otterhound,
6,Bobtail,"$36,000.00",,,6,Cirneco dell'Etna,
7,Havana,"$63,900.00",,,7,Harrier,
8,Bombay,"$14,500.00",,,8,Dandi Dinmont Terrier,
9,Ragamuffin,"$77,000.00",,,9,Chinook,
10,Balinese,"$6,500.00",,,10,English Coonhound,
,,,,,11,Finnish Spitz,
